system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
00000000000000000b22_0,SW-TR-1500_2018-06-13,0.11,250.0,1670.3103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.87355085788704,38.031796148526865]}"
00000000000000000b63_0,SV-RV-16674_2017-09-22,0.11,478.0,2283.2747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.73133382556534,37.30389127381085]}"
000000000000000000a8_0,US-LS-10718_2022-08-21,0.12,184.0,1690.1407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.74717162025696,43.360871908483155]}"
00000000000000000355_0,PC-TR-50738_2021-07-22,0.12,877.0,651.506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.35644106591977,44.91855061114495]}"
000000000000000003bb_0,ENO-RV-1101_2021-08-05,0.12,156.0,1652.109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.2740472572386,41.15874182099937]}"
000000000000000003f7_0,XE-RO-5092_2021-06-16,0.12,1058.0,1285.6438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.64296247301723,38.39220024051284]}"
00000000000000000594_0,RS-RV-10921_2017-09-13,0.12,403.0,1952.985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.60010825968288,41.966417092948085]}"
000000000000000005c0_0,KS-RV-11793_2018-08-15,0.12,290.0,2068.6172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.48153521646097,41.75037226711811]}"
000000000000000006ae_0,OT-LS-7015_2013-09-19,0.12,560.0,695.36694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.59920079583506,48.701535935637146]}"
000000000000000007e5_0,PR-RV-10492_2017-08-09,0.12,151.0,1395.1322,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.27456337499981,39.25036083142622]}"
00000000000000000090_0,RA-TR-24249_2022-08-20,0.13,153.0,1996.7136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.8688704698459,41.69584452937226]}"
00000000000000000118_0,RA-LS-16274_2022-07-25,0.13,204.0,2049.0876,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.08257510165608,42.06855554075214]}"
000000000000000003cd_0,ENO-LS-1065_2021-06-28,0.13,156.0,1805.156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.29551699252907,41.54879031736245]}"
000000000000000006aa_0,OT-RO-7092_2013-08-19,0.13,2400.0,861.94867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.18138520862738,45.69505434273819]}"
000000000000000007dc_0,PR-RV-13180_2017-09-11,0.13,168.0,1237.9153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.20718972869088,38.729607461225676]}"
0000000000000000082f_0,RI-RV-1146_2019-08-13,0.13,487.0,1249.7758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.52797811664993,38.29194825480587]}"
00000000000000000be6_0,NW-TR-1210_2019-07-25,0.13,249.0,2539.6404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.45196234648603,40.439730267593525]}"
00000000000000000189_0,BI-RV-14356_2022-07-10,0.14,163.0,1271.8564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.40593366379292,37.438099577257155]}"
00000000000000000913_0,PR-RV-11039_2016-07-05,0.14,597.0,945.07904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.79572181413607,44.11303129587539]}"
000000000000000009be_0,NC-LS-9156_2015-08-23,0.14,360.0,1232.1965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.77972265351504,38.88905842415578]}"
00000000000000000aa7_0,JA-RV-30568_2020-09-05,0.14,164.0,1536.2802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.71807992789704,42.018429547898435]}"
00000000000000000b9d_0,FR-TR-1245_2017-09-13,0.14,336.0,2295.681,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.79610235755037,37.29661492000954]}"
00000000000000000135_0,PC-TR-26733_2022-07-08,0.15,1213.0,273.0246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.51697458147379,45.19963346354599]}"
000000000000000006b9_0,OT-LS-7001_2014-06-18,0.15,530.0,314.3624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3553768104244,39.00089867702789]}"
000000000000000007f4_0,GWS-SR-28604_2018-08-29,0.15,266.0,1516.9547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.5736125330832,39.01347509100548]}"
00000000000000000814_0,SG-TR-52862_2020-08-05,0.15,392.0,732.6718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.67136295884097,37.019484654861124]}"
0000000000000000090e_0,PR-RV-14159_2017-09-19,0.15,1372.0,203.48117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.52883234322417,45.38585422194404]}"
00000000000000000126_0,UC-RV-11277_2022-07-26,0.16,340.0,1518.875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.92709044882054,38.27137683479968]}"
0000000000000000014d_0,TR-RV-10546_2022-07-24,0.16,326.0,1613.7728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.87840176042127,38.16286034847888]}"
00000000000000000279_0,NS-RV-1024_2022-04-28,0.16,440.0,447.60333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.17226356126602,36.75475114063352]}"
00000000000000000324_0,RI-TR-14707_2021-06-07,0.16,262.0,1975.161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.99331000810571,38.07653224967566]}"
0000000000000000036b_0,MR-LS-1177_2021-08-08,0.16,188.0,1580.6063,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.26740887269985,42.18183309807924]}"
0000000000000000069d_0,OT-SS-7153_2015-07-22,0.16,420.0,1263.8549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.1405971204465,42.075472568439835]}"
0000000000000000087c_0,MB-TR-33593_2020-08-14,0.16,402.0,1282.787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.17071355387375,38.795723466136415]}"
00000000000000000910_0,PR-RV-12991_2017-09-07,0.16,998.0,487.3453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.07383565181765,44.77050825232208]}"
00000000000000000bfa_0,LS-RV-13001_2017-08-30,0.16,734.0,1814.5673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.05994670505999,40.942337669055945]}"
000000000000000000bf_0,VE-RV-10333_2022-08-17,0.17,623.0,1473.0023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.34354941453836,39.93990764351214]}"
00000000000000000272_0,NY-RV-1013_2022-05-02,0.17,177.0,1824.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.8703443685553,39.55722533247951]}"
0000000000000000082d_0,RI-RV-1160_2020-09-30,0.17,306.0,1312.7147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.75507222047536,38.37144915744984]}"
00000000000000000915_0,PR-RV-10239_2016-08-31,0.17,1132.0,416.72913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.38016116370238,44.817220647096285]}"
000000000000000009c3_0,NB-RO-9127_2014-08-18,0.17,210.0,1890.9072,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.35553360207196,39.163314080395615]}"
0000000000000000006a_0,PC-TR-59147_2022-09-02,0.18,882.0,545.3218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.72834359354523,44.80563237993114]}"
000000000000000000af_0,PR-RV-11087_2022-08-18,0.18,1210.0,163.46103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.45490099534113,45.485477386952944]}"
00000000000000000207_0,UK-TR-39847_2022-06-09,0.18,333.0,221.56389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.36912103427143,38.927955475957894]}"
00000000000000000276_0,NS-RV-1068_2022-05-01,0.18,1688.0,409.09958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.28724791763332,36.68324524401828]}"
000000000000000003b6_0,NO-RO-9200_2021-09-03,0.18,357.0,1476.2823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.53716837823907,41.82367479430201]}"
00000000000000000623_0,CAS-TR-25148_2020-07-09,0.18,250.0,1785.8605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.45708274360551,42.556071245442325]}"
000000000000000007cd_0,VE-RV-10333_2016-09-09,0.18,628.0,1474.8854,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.34336975148153,39.94017713809738]}"
000000000000000007d3_0,VE-LS-10589_2016-07-12,0.18,162.0,1931.2574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.17574411946482,39.608608966730834]}"
000000000000000008a9_0,CO-RO-9435_2018-09-18,0.18,572.0,1273.6493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.20233425187476,38.80892870081287]}"
00000000000000000911_0,PR-RV-12799_2017-09-05,0.18,1644.0,312.568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.46253667525612,45.134685268504136]}"
000000000000000002a2_0,NS-RV-1094_2022-04-02,0.19,280.0,475.70816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.07587433127999,36.7940973500776]}"
00000000000000000488_0,JA-RV-31592_2021-08-17,0.19,260.0,1529.0294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.73308179314185,42.03612635899553]}"
00000000000000000685_0,XE-RO-5084_2013-06-13,0.19,360.0,1580.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.7749249882544,39.085340313734555]}"
000000000000000006d2_0,MS-LS-3026_2014-07-06,0.19,270.0,2408.683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.9296864145808,40.77363405869909]}"
0000000000000000081b_0,SG-RV-1267_2019-06-24,0.19,407.0,748.51825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.64261686974915,37.024605051980565]}"
00000000000000000912_0,PR-RV-11087_2016-07-24,0.19,1097.0,163.44476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.45517048992636,45.4851180608393]}"
00000000000000000917_0,PR-RV-10063_2016-08-07,0.19,696.0,201.63118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.52209497859326,45.397532320637595]}"
00000000000000000983_0,BRF-SS-1164_2019-10-03,0.19,1327.0,692.75916,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.78304184578441,45.73835313943279]}"
00000000000000000ac0_0,CTO-LS-1065_2019-08-21,0.19,181.0,1194.2954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.46898167389256,45.818123536662675]}"
00000000000000000af8_0,CO-RO-9402_2014-07-21,0.19,220.0,1785.6086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.25946252966291,40.0376443464238]}"
00000000000000000b19_0,TR-RV-10546_2016-09-17,0.19,313.0,1618.4948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.87876108653491,38.16286034847888]}"
00000000000000000041_0,PC-TR-49785_2022-09-14,0.2,797.0,434.0674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.38357476178203,44.76125560489565]}"
00000000000000000232_0,PC-TR-99758_2022-05-26,0.2,522.0,261.0015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.55299702436699,45.24706451054751]}"
0000000000000000023a_0,ENO-RV-1128_2022-05-29,0.2,159.0,1760.4331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.23398239556685,41.4895015086108]}"
000000000000000002ce_0,RS-TR-10453_2021-07-11,0.2,174.0,1958.1893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.61430164117199,41.98761733365323]}"
00000000000000000639_0,XS-LS-6051_2019-07-14,0.2,177.0,1659.3325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.17964346944134,39.7359002424898]}"
000000000000000007dd_0,PR-RV-12988_2017-07-17,0.2,163.0,1415.2112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.37957643171339,39.28737142113171]}"
